fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221001 002844	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	49	TRUE	102191	0.0926089098306256	0.46210459632799	3448	393	10487	25430000	1
20221001 002903	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	69	TRUE	102191	0.146976296154025	0.982530045229942	5942	543	12068	25150000	2
20221001 002919	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	46	TRUE	102191	0.177457351324556	0.681281875101849	5209	431	11151	25300000	3
20221001 002933	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	32	TRUE	102191	0.155327925930265	0.383513112263754	2705	312	9734	25420000	4
20221001 002951	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	69	TRUE	102191	0.223636627895001	0.554587022345513	4180	639	8177	25090000	5
20221001 003021	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	143	TRUE	102191	0.188323334647517	0.574024231052026	6252	139	9236	25610000	6
20221001 003034	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	35	TRUE	102191	0.23671845679963	0.409915670705959	3050	710	14534	23500000	7
20221001 003127	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	416	TRUE	102191	0.0616458281603991	0.354571637324989	6523	898	12725	24870000	8
20221001 003142	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	15	TRUE	102191	0.257184949782095	0.641336658634245	1999	809	5495	23730000	9
20221001 003229	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	235	TRUE	102191	0.0693084712751443	0.495260682553053	4789	343	11628	25870000	10
20221001 003252	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	22	TRUE	102191	0.120274014541123	0.621981519926339	1296	113	6706	25630000	11
20221001 003410	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	426	TRUE	102191	0.047152924386668	0.758062437241897	4516	1024	10952	25860000	12
20221001 003421	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	12	TRUE	102191	0.290439810412994	0.928330147657543	5510	502	6027	24430000	13
20221001 003453	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	133	TRUE	102191	0.126683752228273	0.90548827489838	3829	191	13126	24150000	14
20221001 003503	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	32	TRUE	102191	0.249938736841897	0.280030118245631	7881	840	7814	25980000	15
20221001 004123	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	456	TRUE	102191	0.00806556462915614	0.779062666306272	660	620	8849	27030000	16
20221001 004224	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	125	TRUE	102191	0.0288685244944645	0.254105550432578	1220	740	14117	24170000	17
20221001 004247	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	62	TRUE	102191	0.098632525959867	0.806174173355103	7399	40	7011	25900000	18
20221001 004310	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	73	TRUE	102191	0.199831814709411	0.850170712666586	7222	953	13957	23690000	19
20221001 004330	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	69	TRUE	102191	0.271447584933427	0.237319096494466	2145	218	5547	23150000	20
20221001 004756	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	781	TRUE	102191	0.00504752781504367	0.893868784485817	5117	392	8496	25810000	21
20221001 005045	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	457	TRUE	102191	0.00577457703094943	0.944770119931581	504	38	8886	26470000	22
20221001 005708	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	139	TRUE	102191	0.00514305290288723	0.534766626484541	511	1020	8392	26580000	23
20221001 005822	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	24	TRUE	102191	0.0372235527698256	0.99863645593179	500	722	8391	26420000	24
20221001 011551	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1380	TRUE	102191	0.00513888020502281	0.651155646428131	506	545	9549	27070000	25
20221001 012743	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1088	TRUE	102191	0.0054670613061192	0.547539019006289	500	465	8837	26890000	26
20221001 013523	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	307	TRUE	102191	0.00502605647180303	0.7530602478196	503	597	6316	25850000	27
20221001 014243	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	297	TRUE	102191	0.00513018097016373	0.7230463914366	548	787	9333	26780000	28
20221001 014707	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	992	TRUE	102191	0.00522584180813923	0.616155755626701	8000	1023	8091	26300000	29
20221001 015625	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	605	TRUE	102191	0.00521287050274218	0.825028649579197	501	511	9436	26650000	30
20221001 015842	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	150	TRUE	102191	0.0156804958501272	0.674562268017873	522	189	8611	26780000	31
