Feature	Gain	Cover	Frequency
ctrx_quarter___ccomisiones_otras	0.27837437147112	0.0254021017663725	0.0206378986866792
r_mpasivos_margen	0.0885785727703788	0.0163843268629232	0.0206378986866792
r_mpayroll	0.0537288288669994	0.029121974539533	0.0131332082551595
r_mprestamos_personales	0.0493431881117085	0.0275234970203067	0.0225140712945591
ctrx_quarter___r_mcuentas_saldo	0.0442998075824076	0.0157803951350031	0.0150093808630394
nulos___ccomisiones_mantenimiento	0.0433169908730088	0.00642840788680195	0.00938086303939963
ctrx_quarter___cdescubierto_preacordado	0.0324030513005192	0.00836478789923809	0.00938086303939963
cpayroll_trx	0.0290023894820243	0.0324580041639094	0.0168855534709193
ctarjeta_visa___r_mcaja_ahorro	0.0262679266936712	0.0313643660374038	0.0225140712945591
r_mrentabilidad_annual	0.0254593714808626	0.0260018016726664	0.0300187617260788
cdescubierto_preacordado___r_mcuentas_saldo	0.0248433723188748	0.0342754530613624	0.0206378986866792
ctarjeta_visa___r_Visa_fechaalta	0.0243121497481951	0.0138962865832939	0.0112570356472796
campo8	0.0224885213179161	0.00551490994328106	0.00187617260787993
ctarjeta_debito___r_mcuentas_saldo	0.0154053069701565	0.00600305903150801	0.00938086303939963
r_mtarjeta_visa_consumo	0.0132083672255432	0.0144425301188055	0.0168855534709193
r_mprestamos_personales___cprestamos_personales	0.0105751777017099	0.0188697264858577	0.0075046904315197
ccaja_ahorro___r_mcomisiones_mantenimiento	0.010349797369125	0.00994373132983776	0.0112570356472796
ctarjeta_visa___r_mcuenta_corriente	0.00913253928212121	0.0145442292561267	0.0225140712945591
r_mcomisiones_mantenimiento	0.00894275842895583	0.0126212218000294	0.0112570356472796
r_Visa_msaldopesos	0.00886048504430194	0.0183784627769139	0.0225140712945591
r_mcomisiones_mantenimiento___ccomisiones_mantenimiento	0.00865675179722011	0.0101109052113597	0.0150093808630394
ccaja_ahorro___r_mcuentas_saldo	0.0084258613304661	0.00502472958067354	0.0075046904315197
r_mactivos_margen	0.00834923227430022	0.0194875385887119	0.0187617260787993
r_mcomisiones_mantenimiento___r_Visa_fechaalta	0.00824343811592314	0.0281237385997688	0.0337711069418387
r_mcuentas_saldo___r_mcaja_ahorro	0.00650806874474812	0.020199466404533	0.0187617260787993
ccallcenter_transacciones	0.00556858139519232	0.0220596397731243	0.0075046904315197
nulos___r_Visa_fechaalta	0.0055375263515519	0.0120022586416929	0.0168855534709193
r_Visa_msaldototal	0.00545022449351462	0.0133970331951198	0.0206378986866792
r_Visa_mpagominimo	0.00540811993719266	0.0204031016611863	0.0131332082551595
nulos___ccomisiones_otras	0.004855516569247	0.0179839554376318	0.0150093808630394
r_mcuenta_corriente___r_mcomisiones_mantenimiento	0.00474979202415192	0.016066026167486	0.0187617260787993
Visa_cconsumos	0.00459041373929873	0.0179922836625922	0.0206378986866792
cliente_edad	0.00440315628043822	0.0182817741163982	0.0206378986866792
r_mcuentas_saldo	0.00432945086795663	0.0124618683248727	0.0150093808630394
r_mcomisiones	0.0041213371186083	0.00661142570849242	0.00938086303939963
ccajas_transacciones	0.00412115650258308	0.0110298198865621	0.00375234521575985
r_Master_fultimo_cierre	0.00395941884578144	0.0135383083282893	0.0225140712945591
cdescubierto_preacordado___ctarjeta_visa	0.00388655537047513	0.0101057254616892	0.00375234521575985
ccajas_consultas	0.0036714493367416	0.0165447298298432	0.00562851782363978
r_mcuentas_saldo___ccomisiones_otras	0.00354134337326812	0.0211899496470779	0.0318949343339587
r_Master_mpagominimo	0.00333922491696485	0.00500831011276383	0.00938086303939963
nulos___r_mcomisiones_mantenimiento	0.00333778311002905	0.00906564526968502	0.0112570356472796
r_mcuenta_corriente___r_mcuentas_saldo	0.00308887009865619	0.015794207800791	0.0131332082551595
