fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220925 205117	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	162	TRUE	102191	0.105192750553484	0.623992463517934	6986	269	9111	26340000	1
20220925 205150	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	45	TRUE	102191	0.138176880823157	0.478532418459654	4378	586	8305	26030000	2
20220925 205303	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	170	TRUE	102191	0.0765797865299974	0.675558242565021	4866	182	10628	26910000	3
20220925 205340	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	23	TRUE	102191	0.161773240936396	0.699328542696312	1595	813	13070	24260000	4
20220925 205422	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	61	TRUE	102191	0.207751289901498	0.519871923634782	5209	836	10255	25650000	5
20220925 205519	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	129	TRUE	102191	0.232077299806464	0.213761043082923	2028	992	6609	25190000	6
20220925 205555	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	43	TRUE	102191	0.177385449328111	0.73185745713301	3866	85	9536	25890000	7
20220925 205655	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	85	TRUE	102191	0.25762131403113	0.352792696719989	1182	433	5822	23560000	8
20220925 205835	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	56	TRUE	102191	0.0540418782632914	0.866345425052568	691	725	11943	25720000	9
20220925 210005	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	200	TRUE	102191	0.0475161055464996	0.927736244564876	6199	711	8799	26090000	10
20220925 210126	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	153	TRUE	102191	0.0849538475936279	0.572705257954076	5785	929	14657	23410000	11
20220925 210544	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	686	TRUE	102191	0.019241338228283	0.361384937502444	4636	342	7801	26320000	12
20220925 210612	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	40	TRUE	102191	0.223597417329729	0.265979569423944	2807	550	11341	24840000	13
20220925 210653	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	109	TRUE	102191	0.271588791848801	0.784196923617274	6722	159	12196	25050000	14
20220925 210811	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	275	TRUE	102191	0.136946855536255	0.316360653378069	7750	383	14151	23940000	15
20220925 210827	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	11	TRUE	102191	0.248575510650291	0.81343388707377	1692	25	5387	23070000	16
20220925 210907	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	73	TRUE	102191	0.290736060154741	0.969553614445031	3500	885	12975	24130000	17
20220925 211156	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	118	TRUE	102191	0.112894534861611	0.540773703046143	69	622	7324	25520000	18
20220925 211458	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	405	TRUE	102191	0.025703881320951	0.913213783930987	2677	252	13632	24500000	19
20220925 211531	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	57	TRUE	102191	0.195764421339205	0.402039238531142	7288	480	6018	24450000	20
20220925 212827	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	3236	TRUE	102191	0.00534929518109815	0.617253357562593	5085	17	10256	26370000	21
20220925 212949	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	232	TRUE	102191	0.05107630497352	0.200875635510063	3481	1022	9165	26550000	22
20220925 213101	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	151	TRUE	102191	0.0673706226039798	0.687157754168516	3911	317	10173	26540000	23
20220925 213152	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	123	TRUE	102191	0.0911429903105529	0.903930498886079	5514	20	10735	25410000	24
20220925 214528	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2286	TRUE	102191	0.00544241156826588	0.411099935662695	4773	182	10193	26740000	25
20220925 215736	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2050	TRUE	102191	0.00500558863103385	0.326270541341243	4688	818	8358	26570000	26
20220925 220832	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1489	TRUE	102191	0.00535720501210959	0.675730698473908	3324	1024	8518	26570000	27
20220925 221019	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	233	TRUE	102191	0.0550558986624833	0.579626942378341	4779	173	10530	26300000	28
20220925 221152	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	289	TRUE	102191	0.056373172081023	0.702650630758202	7949	138	10695	26210000	29
20220925 222551	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	3105	TRUE	102191	0.00511117624932131	0.204421055824587	4686	30	9612	26380000	30
20220925 223315	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	823	TRUE	102191	0.0184541069691985	0.405218849530758	1385	1024	8839	26970000	31
20220925 223421	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	134	TRUE	102191	0.077654368215406	0.419327782401163	4809	1023	8784	26440000	32
20220925 231032	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	967	TRUE	102191	0.00502521872787067	0.284494510106721	39	979	9072	26420000	33
20220925 233500	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	3208	TRUE	102191	0.00504821016903152	0.432518560986815	2320	842	8960	27120000	34
20220926 000831	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	4419	TRUE	102191	0.00505910955989923	0.458926337672654	2225	1019	7843	27200000	35
20220926 001812	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	835	TRUE	102191	0.00521252915887864	0.43504225142753	2740	976	6372	25500000	36
20220926 003704	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1836	TRUE	102191	0.0051914693970198	0.491050342082209	907	1024	8804	27040000	37
20220926 011157	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1416	TRUE	102191	0.00511192038893472	0.999685434671785	222	1023	8038	26250000	38
20220926 011931	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	394	TRUE	102191	0.00502125545546976	0.458572259976133	1963	947	8238	26170000	39
20220926 012801	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	893	TRUE	102191	0.00501870055543911	0.41698496535198	3905	842	6390	25460000	40
20220926 014026	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1303	TRUE	102191	0.00515931864145232	0.390828142181655	1396	833	11035	26170000	41
20220926 014714	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	484	TRUE	102191	0.00843578666940343	0.581617179140971	1350	846	12016	25570000	42
20220926 015643	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	930	TRUE	102191	0.00681373287348836	0.456379562738666	1556	845	9901	26520000	43
20220926 015820	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	328	TRUE	102191	0.102861598746422	0.893015306453564	6483	212	10431	26660000	44
20220926 020947	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1882	TRUE	102191	0.00525463130482817	0.752332992468098	5323	224	8430	26900000	45
20220926 023253	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	4226	TRUE	102191	0.00526074921788925	0.338116997968445	2513	732	8916	27050000	46
20220926 023350	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	118	TRUE	102191	0.0958765027279266	0.724583306245895	4552	218	8719	26010000	47
20220926 025159	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	3725	TRUE	102191	0.00521737531888695	0.724258809507173	5764	264	10397	27050000	48
20220926 031219	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	4191	TRUE	102191	0.00519335253231741	0.214975202083962	2516	803	8974	26780000	49
20220926 033406	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	3778	TRUE	102191	0.00503177150349134	0.69862848783235	3001	655	9155	26650000	50
20220926 033512	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	158	TRUE	102191	0.0763280658617048	0.684717833749766	6004	261	10753	26020000	51
20220926 033624	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	158	TRUE	102191	0.116098255049445	0.547237726378837	5500	156	10813	25980000	52
20220926 035035	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2331	TRUE	102191	0.00505555607012598	0.633796489391339	4143	730	9806	26630000	53
20220926 041440	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	3721	TRUE	102191	0.00505667128969243	0.845947330350086	2090	722	8527	26950000	54
20220926 042514	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1858	TRUE	102191	0.00508538553985038	0.703011021953239	7257	210	9258	26210000	55
20220926 043742	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2150	TRUE	102191	0.00502098181866392	0.800183204411931	5485	291	8363	26880000	56
20220926 044023	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	242	TRUE	102191	0.029151075352964	0.607034699223741	2441	710	8653	27260000	57
20220926 044234	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	308	TRUE	102191	0.0471082808863138	0.38206200071203	2511	688	8465	26510000	58
20220926 044620	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	422	TRUE	102191	0.0222031902744698	0.571303593988029	2570	731	8879	26730000	59
20220926 045948	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2204	TRUE	102191	0.0053618195981261	0.276711217127501	2532	712	7287	26470000	60
