Feature	Gain	Cover	Frequency
ctrx_quarter___r_mcaja_ahorro	0.152119336651375	0.0154569843342289	0.0135585517345857
ctrx_quarter___r_mprestamos_personales	0.0556173566600846	0.00746480400643472	0.0063626723223754
r_mpayroll	0.0533792979872719	0.03908567931508	0.0153007120133313
ctrx_quarter___cdescubierto_preacordado	0.0527448979379216	0.00980888802911851	0.00992273897894258
campo1	0.0465312989901653	0.00113329904600132	0.000757460990758976
cpayroll_trx	0.0323371850387243	0.0157856786411579	0.00734737161036207
r_mrentabilidad_annual	0.0253920504312619	0.0252577979359516	0.0226480836236934
r_mtarjeta_visa_consumo	0.0196364318857381	0.0124988097500038	0.0103014694743221
r_mprestamos_personales	0.0178082591654573	0.0125763808481736	0.00552946523254052
ctrx_quarter___r_mcuentas_saldo	0.017339148522621	0.00240641288771582	0.00515073473716104
r_mcuentas_saldo___r_mprestamos_personales	0.0153169994907668	0.0193967142256484	0.0174216027874564
ctarjeta_visa___r_mcuentas_saldo	0.014925235125528	0.00623383982960854	0.00734737161036207
ctrx_quarter___ccaja_ahorro	0.012908581939972	0.0038788021689434	0.00386305105287078
r_mpasivos_margen	0.0128317016498201	0.00521743728284677	0.00742311770943796
cdescubierto_preacordado___ctarjeta_visa	0.0125191988028831	0.00543765293522511	0.00227238297227693
ctrx_quarter___ctarjeta_visa	0.0105753030316456	0.00910553095007282	0.00749886380851386
r_mactivos_margen	0.010554361857234	0.0131384093480781	0.0134070595364339
r_Visa_mpagominimo	0.0103991351317497	0.00897510930416104	0.0126495985456749
nulos___r_mcomisiones_mantenimiento	0.0101957685415915	0.0054839016289241	0.00802908650204515
r_mprestamos_personales___cprestamos_personales	0.00954601870324606	0.00465050203665824	0.00212089077412513
r_mcaja_ahorro___r_mprestamos_personales	0.00845930539676973	0.00772458407831877	0.0113619148613846
r_mcuenta_corriente___r_mprestamos_personales	0.0082970509040708	0.00233135560413161	0.00363581275564308
r_Visa_msaldopesos	0.00808918783465706	0.00727798499897768	0.00999848507801848
r_mcomisiones_mantenimiento___ccomisiones_mantenimiento	0.00759624064862333	0.0105686095016493	0.00689289501590668
r_mrentabilidad	0.00722041340257261	0.00929225105334944	0.0094682623844872
cliente_edad	0.0071031793753926	0.00910348693034417	0.0148462354188759
ccajas_consultas	0.00680328110531231	0.0167101524995591	0.00477200424178155
r_tot	0.00674032936145292	0.00646859439650838	0.00742311770943796
ccaja_seguridad	0.00649855220337157	0.0159912097700824	0.00409028935009847
Master_status	0.00638975731707245	0.00958119412176521	0.00212089077412513
r_mcuentas_saldo___r_mcaja_ahorro	0.00570936814296973	0.00266565448128426	0.00499924253900924
ctarjeta_master	0.00544356602894415	0.000389451694427655	0.000605968792607181
r_mprestamos_personales___ccomisiones_otras	0.00514940419740251	0.0195288392213341	0.0168913800939252
ctarjeta_visa_transacciones	0.00500798423367731	0.00508643869588256	0.00772610210574156
r_mcuenta_corriente___ccomisiones_mantenimiento	0.00499551567568317	0.00774273299542555	0.0063626723223754
Visa_status	0.00469380954059263	0.0148538419159922	0.00257536736858052
